Date Time VMFC
Date Time VMFC
Date Time VMFC
2020-07-06 12:31:46 534.34 8.98
Date Time VMFC
Date Time VMFC
2020-07-06 12:40:57 566.62 9.41
2020-07-06 12:45:58 589.63 9.56
2020-07-06 12:50:58 551.83 8.8
2020-07-06 12:55:59 553.46 9.28
2020-07-06 13:01:00 571.54 9.27
2020-07-06 13:06:00 559.63 9.03
2020-07-06 13:11:01 552.32 9.67
2020-07-06 13:16:02 573.71 9.37
2020-07-06 13:21:02 566.72 9.49
2020-07-06 13:26:03 587.84 9.45
2020-07-06 13:31:04 563.04 9.08
2020-07-06 13:36:04 549.99 9.43
2020-07-06 13:41:05 556.54 9.6
2020-07-06 13:46:06 553.18 9.81
2020-07-06 13:51:06 539.32 9.14
2020-07-06 13:56:07 577.23 9.47
2020-07-06 14:01:08 556.11 9.41
2020-07-06 14:06:08 540.46 9.25
2020-07-06 14:11:09 536.78 9.28
2020-07-06 14:16:10 531.9 9.32
2020-07-06 14:21:11 535.21 9.33
2020-07-06 14:26:11 573.33 10.04
2020-07-06 14:31:12 562.12 10.1
2020-07-06 14:36:13 575.55 10.07
2020-07-06 14:41:13 586.06 10.07
2020-07-06 14:46:14 532.99 9.51
2020-07-06 14:51:15 593.31 9.81
2020-07-06 14:56:15 572.14 10.35
2020-07-06 15:01:16 540.57 10.48
2020-07-06 15:06:17 512.3 9.95
2020-07-06 15:11:18 578.31 9.73
2020-07-06 15:16:18 578.58 9.71
2020-07-06 15:21:19 573.22 10.09
2020-07-06 15:26:20 547.07 9.72
2020-07-06 15:31:20 577.34 10.19
2020-07-06 15:36:21 572.03 10.45
2020-07-06 15:41:22 572.03 9.72
2020-07-06 15:46:22 581.56 10.38
2020-07-06 15:51:23 565.75 9.92
2020-07-06 15:56:24 552.21 9.83
2020-07-06 16:01:25 518.42 10.4
2020-07-06 16:06:25 537.59 10.22
2020-07-06 16:11:26 591.42 10.06
2020-07-06 16:16:27 582.86 10.45
2020-07-06 16:21:27 562.77 9.7
2020-07-06 16:26:28 546.42 10.0
2020-07-06 16:31:29 551.13 10.71
2020-07-06 16:36:29 552.48 10.75
2020-07-06 16:41:30 535.64 9.94
2020-07-06 16:46:31 528.11 10.2
2020-07-06 16:51:31 568.46 10.49
2020-07-06 16:56:32 563.31 10.05
2020-07-06 17:01:33 584.32 9.98
2020-07-06 17:06:33 607.66 10.4
2020-07-06 17:11:34 585.41 10.48
2020-07-06 17:16:35 560.98 10.57
2020-07-06 17:21:35 551.4 10.95
2020-07-06 17:26:36 584.92 10.83
2020-07-06 17:31:37 586.6 10.89
2020-07-06 17:36:37 597.05 10.62
2020-07-06 17:41:38 552.32 10.46
2020-07-06 17:46:39 594.45 10.45
2020-07-06 17:51:39 589.31 10.51
2020-07-06 17:56:40 559.14 10.3
2020-07-06 18:01:41 536.99 10.17
2020-07-06 18:06:42 575.55 10.62
2020-07-06 18:11:42 587.74 10.72
2020-07-06 18:16:43 566.13 10.92
2020-07-06 18:21:44 584.27 10.51
2020-07-06 18:26:44 579.88 10.38
2020-07-06 18:31:45 582.21 10.5
2020-07-06 18:36:46 558.22 10.49
2020-07-06 18:41:46 569.76 10.87
2020-07-06 18:46:47 586.71 10.87
2020-07-06 18:51:48 535.8 10.09
2020-07-06 18:56:48 575.28 10.35
2020-07-06 19:01:49 559.68 10.53
2020-07-06 19:06:50 547.39 10.1
2020-07-06 19:11:50 545.22 10.42
2020-07-06 19:16:51 534.72 10.44
2020-07-06 19:21:52 547.82 9.97
2020-07-06 19:26:53 580.42 10.71
2020-07-06 19:31:53 580.05 10.09
2020-07-06 19:36:54 572.14 10.14
2020-07-06 19:41:55 590.17 10.93
2020-07-06 19:46:55 581.35 10.87
2020-07-06 19:51:56 555.3 10.77
2020-07-06 19:56:57 528.22 10.14
2020-07-06 20:01:57 552.26 9.91
2020-07-06 20:06:58 537.75 10.33
2020-07-06 20:11:59 574.79 10.62
2020-07-06 20:16:59 559.25 10.73
2020-07-06 20:22:00 619.63 10.55
2020-07-06 20:27:01 532.44 10.21
2020-07-06 20:32:01 526.92 10.06
2020-07-06 20:37:02 552.48 10.78
2020-07-06 20:42:03 557.73 10.18
2020-07-06 20:47:04 550.42 10.28
2020-07-06 20:52:04 547.99 10.19
2020-07-06 20:57:05 562.28 10.14
2020-07-06 21:02:06 547.01 10.44
2020-07-06 21:07:06 576.31 10.57
2020-07-06 21:12:07 575.82 10.07
2020-07-06 21:17:08 575.01 10.76
2020-07-06 21:22:08 551.89 10.07
2020-07-06 21:27:09 581.94 10.38
2020-07-06 21:32:10 564.07 10.58
2020-07-06 21:37:10 546.04 10.17
2020-07-06 21:42:11 558.87 10.62
2020-07-06 21:47:12 578.53 10.12
