Date Time VMFC Temperature
Date Time VMFC Temperature
Date Time VMFC Temperature
Date Time VMFC Temperature
Date Time VMFC Temperature
Date Time VMFC Temperature
Date Time VMFC Temperature
2021-02-03 15:02:13 1613.45 20.94
2021-02-03 15:02:16 1610.36 20.94
2021-02-03 15:02:18 1612.36 21.0
2021-02-03 15:02:20 1612.18 21.0
2021-02-03 15:02:22 1611.27 20.94
2021-02-03 15:02:25 1615.09 20.94
2021-02-03 15:02:27 1613.82 21.0
2021-02-03 15:02:29 1610.36 21.0
2021-02-03 15:02:32 1611.36 21.0
2021-02-03 15:02:34 1614.0 21.0
2021-02-03 15:02:36 1610.18 21.0
2021-02-03 15:02:39 1613.09 21.0
2021-02-03 15:02:41 1613.09 21.0
2021-02-03 15:02:43 1610.64 20.94
2021-02-03 15:02:45 1610.36 21.0
2021-02-03 15:02:48 1610.55 21.0
2021-02-03 15:02:50 1612.18 21.0
2021-02-03 15:02:52 1612.73 21.0
2021-02-03 15:02:54 1610.82 21.0
2021-02-03 15:02:57 1609.82 21.0
2021-02-03 15:02:59 1612.64 21.0
2021-02-03 15:03:01 1612.27 21.0
2021-02-03 15:03:04 1611.18 21.0
2021-02-03 15:03:06 1615.27 21.0
2021-02-03 15:03:08 1613.91 21.0
2021-02-03 15:03:10 1612.36 21.0
2021-02-03 15:03:13 1616.64 21.0
2021-02-03 15:03:15 1613.36 21.0
2021-02-03 15:03:17 1609.55 21.0
2021-02-03 15:03:20 1608.73 21.0
2021-02-03 15:03:22 1612.73 21.0
2021-02-03 15:03:24 1614.27 21.0
2021-02-03 15:03:27 1612.27 21.0
2021-02-03 15:03:29 1614.82 21.0
2021-02-03 15:03:31 1611.09 21.0
Date Time VMFC Temperature
2021-02-03 15:03:47 1611.82 21.0
2021-02-03 15:03:49 1611.73 21.0
2021-02-03 15:03:51 1608.0 21.0
2021-02-03 15:03:53 1610.73 21.0
2021-02-03 15:03:56 1614.91 21.0
2021-02-03 15:03:58 1613.82 21.0
2021-02-03 15:04:00 1612.45 21.0
2021-02-03 15:04:02 1611.64 21.0
2021-02-03 15:04:05 1610.64 21.0
2021-02-03 15:04:07 1611.91 21.0
2021-02-03 15:04:09 1613.09 21.0
2021-02-03 15:04:12 1612.09 21.0
2021-02-03 15:04:14 1617.64 21.0
2021-02-03 15:04:16 1610.27 21.0
2021-02-03 15:04:18 1610.36 21.0
2021-02-03 15:04:21 1613.64 21.0
2021-02-03 15:04:23 1612.18 21.0
2021-02-03 15:04:25 1616.18 21.0
2021-02-03 15:04:27 1611.55 21.0
2021-02-03 15:04:30 1613.55 21.0
2021-02-03 15:04:32 1611.27 21.0
2021-02-03 15:04:34 1611.27 21.0
2021-02-03 15:04:37 1612.73 21.0
2021-02-03 15:04:39 1612.18 21.0
2021-02-03 15:04:41 1614.45 21.0
2021-02-03 15:04:43 1610.55 21.0
2021-02-03 15:04:46 1613.73 21.0
2021-02-03 15:04:48 1611.45 21.0
2021-02-03 15:04:50 1614.82 21.0
2021-02-03 15:04:52 1614.73 21.0
2021-02-03 15:04:55 1615.64 21.0
2021-02-03 15:04:57 1615.36 21.0
2021-02-03 15:04:59 1613.64 21.0625
2021-02-03 15:05:02 1612.82 21.0625
2021-02-03 15:05:04 1613.82 21.0
2021-02-03 15:05:06 1616.55 21.0
2021-02-03 15:05:08 1614.18 21.0
2021-02-03 15:05:11 1614.45 21.0
2021-02-03 15:05:13 1612.55 21.0
2021-02-03 15:05:15 1615.73 21.0
2021-02-03 15:05:17 1613.09 21.0
2021-02-03 15:05:20 1613.64 21.0625
2021-02-03 15:05:22 1613.0 21.0625
2021-02-03 15:05:24 1612.18 21.0
2021-02-03 15:05:27 1610.91 21.0625
2021-02-03 15:05:29 1614.45 21.0625
2021-02-03 15:05:31 1613.45 21.0625
2021-02-03 15:05:33 1609.45 21.0625
2021-02-03 15:05:36 1610.91 21.0625
2021-02-03 15:05:38 1611.73 21.0625
Date Time VMFC Temperature
2021-03-03 11:57:04 1612.45 21.19
2021-03-03 11:57:07 1612.09 21.13
2021-03-03 11:57:09 1611.73 21.19
2021-03-03 11:57:11 1610.82 21.19
2021-03-03 11:57:14 1614.18 21.19
2021-03-03 11:57:16 1610.0 21.19
2021-03-03 11:57:18 1618.64 21.1875
2021-03-03 11:57:20 1634.91 21.1875
2021-03-03 11:57:23 1630.45 21.1875
2021-03-03 11:57:25 1625.64 21.1875
2021-03-03 11:57:27 1627.18 21.1875
2021-03-03 11:57:29 1637.45 21.1875
2021-03-03 11:57:32 1614.45 21.1875
2021-03-03 11:57:34 1629.36 21.1875
2021-03-03 11:57:36 1642.55 21.1875
2021-03-03 11:57:39 1621.27 21.1875
2021-03-03 11:57:41 1633.0 21.1875
2021-03-03 12:02:24 1581.91 21.13
2021-03-03 12:07:40 1657.18 21.0
2021-03-03 12:12:46 1596.91 20.94
2021-03-03 12:18:00 1637.91 20.88
2021-03-03 12:23:08 1195.09 20.81
2021-03-03 12:28:10 1620.55 20.8125
2021-03-03 12:33:11 1610.27 20.81
2021-03-03 12:39:06 1598.09 20.75
2021-03-03 12:44:07 1605.82 20.81
2021-03-03 12:49:09 1610.18 20.88
Date Time VMFC Temperature
2021-03-03 13:48:26 1613.55 21.06
2021-03-03 13:48:29 1612.0 21.06
2021-03-03 13:48:31 1612.45 21.06
2021-03-03 13:48:33 1611.82 21.13
2021-03-03 13:48:35 1611.55 21.06
2021-03-03 13:48:38 1622.09 21.0625
2021-03-03 13:48:40 1624.36 21.125
2021-03-03 13:48:42 1636.36 21.125
2021-03-03 13:48:44 1626.18 21.0625
2021-03-03 13:48:47 1637.64 21.125
2021-03-03 13:48:49 1632.64 21.125
2021-03-03 13:48:51 1626.27 21.125
2021-03-03 13:48:54 1633.64 21.125
2021-03-03 13:48:56 1630.45 21.125
2021-03-03 13:48:58 1629.0 21.125
2021-03-03 13:49:00 1635.82 21.125
