Date Time VMFC
Date Time VMFC
Date Time VMFC
Date Time VMFC Temperature
2020-07-06 12:26:49 333.7 9.74
2020-07-06 12:26:50 334.62 9.85
2020-07-06 12:26:51 335.76 8.79
2020-07-06 12:26:52 339.33 8.22
2020-07-06 12:26:53 339.33 8.84
2020-07-06 12:26:54 374.48 9.48
2020-07-06 12:26:55 339.06 8.83
2020-07-06 12:26:56 335.54 8.74
2020-07-06 12:27:01 338.52 8.735631826094556
2020-07-06 12:27:07 336.51 9.945171975505456
2020-07-06 12:27:12 337.22 9.7195114998691
2020-07-06 12:27:17 335.65 9.00341559051637
Date Time VMFC
2020-07-06 12:33:20 337.92 8.45
Date Time VMFC
Date Time VMFC
2020-07-06 12:40:57 337.43 8.93
2020-07-06 12:45:58 338.84 9.56
2020-07-06 12:50:58 337.27 8.8
2020-07-06 12:55:59 336.46 9.28
2020-07-06 13:01:00 340.36 9.27
2020-07-06 13:06:01 336.84 9.42
2020-07-06 13:11:01 336.73 8.89
2020-07-06 13:16:02 339.93 9.37
2020-07-06 13:21:03 337.49 9.5
2020-07-06 13:26:04 337.33 9.64
2020-07-06 13:31:04 340.95 9.48
2020-07-06 13:36:05 340.25 9.45
2020-07-06 13:41:06 339.17 9.86
2020-07-06 13:46:07 338.41 9.5
2020-07-06 13:51:08 342.53 9.26
2020-07-06 13:56:08 339.17 9.55
2020-07-06 14:01:09 339.38 9.99
2020-07-06 14:06:10 339.98 9.39
2020-07-06 14:11:11 339.33 9.4
2020-07-06 14:16:11 340.2 9.2
2020-07-06 14:21:12 339.93 9.48
2020-07-06 14:26:13 341.12 10.03
2020-07-06 14:31:14 342.74 9.67
2020-07-06 14:36:15 341.93 9.99
2020-07-06 14:41:16 343.66 9.67
2020-07-06 14:46:16 341.98 9.84
2020-07-06 14:51:17 341.17 10.1
2020-07-06 14:56:18 342.15 9.71
2020-07-06 15:01:19 341.5 10.01
2020-07-06 15:06:20 341.93 9.74
2020-07-06 15:11:20 344.31 10.12
2020-07-06 15:16:21 345.34 10.26
2020-07-06 15:21:22 342.2 9.83
2020-07-06 15:26:23 345.88 9.87
2020-07-06 15:31:24 342.8 10.26
2020-07-06 15:36:24 346.21 9.93
2020-07-06 15:41:25 345.29 10.19
2020-07-06 15:46:26 345.83 10.16
2020-07-06 15:51:27 346.1 10.21
2020-07-06 15:56:28 345.61 9.85
2020-07-06 16:01:28 344.47 10.12
2020-07-06 16:06:29 345.56 9.68
2020-07-06 16:11:30 345.5 9.71
2020-07-06 16:16:31 346.53 9.95
2020-07-06 16:21:31 346.32 10.11
2020-07-06 16:26:32 347.78 10.19
2020-07-06 16:31:33 346.59 10.44
2020-07-06 16:36:34 345.83 10.47
2020-07-06 16:41:35 347.94 10.72
2020-07-06 16:46:35 344.8 10.56
2020-07-06 16:51:36 344.1 10.39
2020-07-06 16:56:37 346.26 10.66
2020-07-06 17:01:38 344.96 9.96
2020-07-06 17:06:39 347.45 10.73
2020-07-06 17:11:39 346.05 10.53
2020-07-06 17:16:40 346.1 10.36
2020-07-06 17:21:41 347.02 10.87
2020-07-06 17:26:42 346.1 10.88
2020-07-06 17:31:42 347.4 10.22
2020-07-06 17:36:43 347.83 10.13
2020-07-06 17:41:44 347.89 10.82
2020-07-06 17:46:45 345.12 10.42
2020-07-06 17:51:46 347.07 10.11
2020-07-06 17:56:46 347.89 10.88
2020-07-06 18:01:47 348.05 10.33
2020-07-06 18:06:48 345.4 10.24
2020-07-06 18:11:49 345.99 10.09
2020-07-06 18:16:50 345.88 10.54
2020-07-06 18:21:50 345.61 9.97
2020-07-06 18:26:51 345.61 10.17
2020-07-06 18:31:52 346.1 10.13
2020-07-06 18:36:53 346.75 10.28
2020-07-06 18:41:54 347.83 9.85
2020-07-06 18:46:54 347.18 11.0
2020-07-06 18:51:55 345.5 9.92
2020-07-06 18:56:56 345.34 10.26
2020-07-06 19:01:57 346.42 10.48
2020-07-06 19:06:58 345.23 10.58
2020-07-06 19:11:58 347.02 10.05
2020-07-06 19:16:59 346.26 10.87
2020-07-06 19:22:00 345.23 10.14
2020-07-06 19:27:01 346.48 10.18
