Date Time VMFC Temperature
Date Time VMFC Temperature
Date Time VMFC Temperature
Date Time VMFC Temperature
Date Time VMFC Temperature
Date Time VMFC Temperature
Date Time VMFC Temperature
2021-02-03 15:02:13 1613.45 20.94
2021-02-03 15:02:16 1610.36 20.94
2021-02-03 15:02:18 1612.36 21.0
2021-02-03 15:02:20 1612.18 21.0
2021-02-03 15:02:22 1611.27 20.94
2021-02-03 15:02:25 1615.09 20.94
2021-02-03 15:02:27 1613.82 21.0
2021-02-03 15:02:29 1610.36 21.0
2021-02-03 15:02:32 1611.36 21.0
2021-02-03 15:02:34 1614.0 21.0
2021-02-03 15:02:36 1610.18 21.0
2021-02-03 15:02:39 1613.09 21.0
2021-02-03 15:02:41 1613.09 21.0
2021-02-03 15:02:43 1610.64 20.94
2021-02-03 15:02:45 1610.36 21.0
2021-02-03 15:02:48 1610.55 21.0
2021-02-03 15:02:50 1612.18 21.0
2021-02-03 15:02:52 1612.73 21.0
2021-02-03 15:02:54 1610.82 21.0
2021-02-03 15:02:57 1609.82 21.0
2021-02-03 15:02:59 1612.64 21.0
2021-02-03 15:03:01 1612.27 21.0
2021-02-03 15:03:04 1611.18 21.0
2021-02-03 15:03:06 1615.27 21.0
2021-02-03 15:03:08 1613.91 21.0
2021-02-03 15:03:10 1612.36 21.0
2021-02-03 15:03:13 1616.64 21.0
2021-02-03 15:03:15 1613.36 21.0
2021-02-03 15:03:17 1609.55 21.0
2021-02-03 15:03:20 1608.73 21.0
2021-02-03 15:03:22 1612.73 21.0
2021-02-03 15:03:24 1614.27 21.0
2021-02-03 15:03:27 1612.27 21.0
2021-02-03 15:03:29 1614.82 21.0
2021-02-03 15:03:31 1611.09 21.0
Date Time VMFC Temperature
2021-02-03 15:03:47 1611.82 21.0
2021-02-03 15:03:49 1611.73 21.0
2021-02-03 15:03:51 1608.0 21.0
2021-02-03 15:03:53 1610.73 21.0
2021-02-03 15:03:56 1614.91 21.0
2021-02-03 15:03:58 1613.82 21.0
2021-02-03 15:04:00 1612.45 21.0
2021-02-03 15:04:02 1611.64 21.0
2021-02-03 15:04:05 1610.64 21.0
2021-02-03 15:04:07 1611.91 21.0
2021-02-03 15:04:09 1613.09 21.0
2021-02-03 15:04:12 1612.09 21.0
2021-02-03 15:04:14 1617.64 21.0
2021-02-03 15:04:16 1610.27 21.0
2021-02-03 15:04:18 1610.36 21.0
2021-02-03 15:04:21 1613.64 21.0
2021-02-03 15:04:23 1612.18 21.0
2021-02-03 15:04:25 1616.18 21.0
2021-02-03 15:04:27 1611.55 21.0
2021-02-03 15:04:30 1613.55 21.0
2021-02-03 15:04:32 1611.27 21.0
2021-02-03 15:04:34 1611.27 21.0
2021-02-03 15:04:37 1612.73 21.0
2021-02-03 15:04:39 1612.18 21.0
2021-02-03 15:04:41 1614.45 21.0
2021-02-03 15:04:43 1610.55 21.0
2021-02-03 15:04:46 1613.73 21.0
2021-02-03 15:04:48 1611.45 21.0
2021-02-03 15:04:50 1614.82 21.0
2021-02-03 15:04:52 1614.73 21.0
2021-02-03 15:04:55 1615.64 21.0
2021-02-03 15:04:57 1615.36 21.0
2021-02-03 15:04:59 1613.64 21.0625
2021-02-03 15:05:02 1612.82 21.0625
2021-02-03 15:05:04 1613.82 21.0
2021-02-03 15:05:06 1616.55 21.0
2021-02-03 15:05:08 1614.18 21.0
2021-02-03 15:05:11 1614.45 21.0
2021-02-03 15:05:13 1612.55 21.0
2021-02-03 15:05:15 1615.73 21.0
2021-02-03 15:05:17 1613.09 21.0
2021-02-03 15:05:20 1613.64 21.0625
2021-02-03 15:05:22 1613.0 21.0625
2021-02-03 15:05:24 1612.18 21.0
2021-02-03 15:05:27 1610.91 21.0625
2021-02-03 15:05:29 1614.45 21.0625
2021-02-03 15:05:31 1613.45 21.0625
2021-02-03 15:05:33 1609.45 21.0625
2021-02-03 15:05:36 1610.91 21.0625
2021-02-03 15:05:38 1611.73 21.0625
Date Time VMFC Temperature
2021-02-03 15:57:01 1610.82 21.81
2021-02-03 15:57:04 1613.64 21.88
2021-02-03 15:57:06 1612.18 21.88
2021-02-03 15:57:08 1610.73 21.88
2021-02-03 15:57:11 1612.09 21.88
2021-02-03 15:57:13 1613.55 21.94
2021-02-03 15:57:16 1614.36 21.88
2021-02-03 15:57:19 1614.64 21.94
2021-02-03 15:57:21 1613.91 21.88
2021-02-03 15:57:23 1613.27 21.875
2021-02-03 15:57:26 1646.82 21.875
2021-02-03 15:57:28 1651.64 21.875
2021-02-03 15:57:31 1638.82 21.875
2021-02-03 15:57:33 1674.55 21.875
2021-02-03 15:57:36 1659.18 21.8125
2021-02-03 15:57:38 1638.09 21.8125
2021-02-03 15:57:41 1692.64 21.8125
2021-02-03 15:57:43 1640.91 21.8125
2021-02-03 15:57:46 1645.18 21.8125
2021-02-03 15:57:48 1641.18 21.8125
Date Time VMFC
Date Time VMFC Temperature
2021-02-03 15:58:13 1609.55 21.75
2021-02-03 15:58:16 1612.91 21.75
2021-02-03 15:58:18 1610.64 21.75
2021-02-03 15:58:21 1610.36 21.75
2021-02-03 15:58:23 1611.45 21.69
2021-02-03 15:58:25 1612.27 21.69
2021-02-03 15:58:28 1608.82 21.69
2021-02-03 15:58:30 1630.27 21.6875
2021-02-03 15:58:33 1647.82 21.6875
2021-02-03 15:58:35 1653.27 21.6875
2021-02-03 15:58:38 1663.64 21.6875
2021-02-03 15:58:40 1637.18 21.6875
2021-02-03 15:58:43 1653.45 21.6875
2021-02-03 15:58:45 1643.18 21.6875
2021-02-03 15:58:48 1647.91 21.6875
2021-02-03 15:58:50 1656.18 21.6875
2021-02-03 15:58:53 1653.64 21.625
2021-02-03 15:58:55 1689.45 21.625
