Date Vps Ips
2020-08-18 16:24:48.956155 1.4 1.0
2020-08-18 16:25:00.286606 1.4 1.0
2020-08-18 16:25:33.538805 1.4 1.0
2020-08-19 09:42:54.870522 10.0 18.0
2020-08-19 09:57:44.049281 7.0 13.0
2020-08-19 09:57:50.881674 7.0 13.0
2020-08-19 09:58:51.068061 7.0 13.0
2020-08-19 09:59:51.068195 7.0 13.0
2020-08-19 10:00:51.066746 7.0 13.0
2020-08-19 10:01:51.067634 7.0 13.0
2020-08-19 10:02:51.067986 7.0 13.0
2020-08-19 10:03:51.068067 7.0 13.0
2020-08-19 14:15:45.677729 7.0 13.0
2020-08-19 14:24:32.071088 7.0 13.0
2020-08-19 14:27:49.097707 7.0 13.0
2020-08-19 14:34:24.140385 7.0 13.0
2020-08-19 14:42:28.991535 7.0 13.0
2020-08-19 15:01:48.220142 7.0 13.0
2020-08-19 15:08:41.588175 7.0 13.0
2020-08-19 15:14:31.893014 7.0 13.0
2020-08-19 15:15:05.305897 7.0 13.0
2020-08-19 15:16:26.122614 7.0 13.0
2020-08-19 15:17:31.535560 7.0 13.0
2020-08-19 15:22:52.504301 7.0 13.0
2020-08-19 15:23:53.455806 7.0 13.0
2020-08-19 15:38:27.541346 7.0 13.0
2020-08-19 15:48:00.342988 7.0 13.0
2020-08-19 15:50:29.236549 7.0 13.0
2020-08-19 15:55:03.616564 7.0 13.0
2020-08-19 16:14:28.045103 7.0 13.0
2020-08-19 16:17:01.000271 7.0 13.0
2020-08-19 16:17:32.416904 7.0 13.0
2020-08-19 16:27:04.039082 7.0 13.0
2020-08-19 16:27:08.624941 7.0 13.0
2020-08-19 16:56:16.400731 7.0 13.0
2020-08-19 17:16:16.791662 0.5 0.0
2020-08-19 17:36:16.791733 0.5 0.0
2020-08-19 17:56:16.791271 0.5 0.0
2020-08-19 18:16:16.791684 0.5 0.0
2020-08-19 18:36:16.791779 0.5 0.0
2020-08-19 18:56:16.791967 0.5 0.0
2020-08-19 19:16:16.791298 0.5 0.0
2020-08-19 19:36:16.791099 0.5 0.0
2020-08-19 19:56:16.791777 0.5 0.0
2020-08-19 20:16:16.791308 0.5 0.0
2020-08-19 20:36:16.791011 0.0 0.0
2020-08-19 20:56:16.791310 0.5 0.0
2020-08-19 21:16:16.791828 0.0 0.0
2020-08-19 21:36:16.791717 0.0 0.0
2020-08-19 21:56:16.791495 0.5 0.0
2020-08-19 22:16:16.791903 0.5 0.0
2020-08-19 22:36:16.791326 0.5 0.0
2020-08-19 22:56:16.791861 0.5 0.0
2020-08-19 23:16:16.791681 0.0 0.0
2020-08-19 23:36:16.791333 0.5 0.0
2020-08-19 23:56:16.791037 0.0 0.0
2020-08-20 00:16:16.791133 0.5 0.0
2020-08-20 00:36:16.791761 0.0 0.0
2020-08-20 00:56:16.791947 0.5 0.0
2020-08-20 01:16:16.791786 0.0 0.0
2020-08-20 01:36:16.791587 0.0 0.0
2020-08-20 01:56:16.791507 0.0 0.0
2020-08-20 02:16:16.791957 0.0 0.0
